Industry,Company Name,Address,Fixed Capital,Total Capital,Product & Annual Capacity,Employment
Agro Based Industry,Agriculture Himalayan Pvt.Ltd.,Lalitpur,8.2,10,Organic Vegetable 120 MT,29
Agro Based Industry,Tara Gaun Tea Estate Pvt.Ltd.,Ilam,45.1,49.1,Manufacturing And Export Of Orthodox Tea 540 MT,34
Agro Based Industry,Kasturi Organic Agriculture Farming Industries Pvt. Ltd.,Lalitpur,18,20,Organic Vegetable 300 MT,41
Agro Based Industry,Sanghai Floriculture Industries Pvt. Ltd.,Lalitpur,13,15,Floriculture 30 MT,37
Agro Based Industry,Organic One Hundred Eat Pvt. Ltd.,Makawanpur,7,8,Organic Vegetables 150 MT,33
Agro Based Industry,Morgan Group Nepal Pvt.Ltd.,Kathmandu,4,5,Organic Vegetable 30 MT,15
Agro Based Industry,Chhen Agriculture Farming Pvt. Ltd.,Bhaktapur,9.6,11.4,Organic Vegetables 190 MT,39
Agro Based Industry,Dragon Agriculture Farmers Pvt. Ltd.,Kathmandu,2.5,3.2,Organic Vegetables 40 MT,20
Agro Based Industry,Ming Organic Farm Pvt. Ltd.,Sainbhu ,8.5,9.5,Organic Vegetables 200 MT,31
Agro Based Industry,Saga Organic Farming Pvt.Ltd.,Kathmandu,8.6,9.5,Organic Vegetables 210 MT,37
Agro Based Industry,China Nepal Green House Pvt. Ltd.,Kathmandu,9.6,13.5,Organic Vegetables 120 MT,29
Agro Based Industry,Royal Orchid And Cyactai Pvt. Ltd.,Kathmandu,3.3,4,Flowers (Different Varieties) 10 MT,20
Agro Based Industry,Organic Vegetables Farming Pvt. Ltd.,Khairenitar-9,2.5,4,Organic Vegetables 55 MT,19
Agro Based Industry,Alfred Organic Farm Pvt.Ltd.,Kathmandu,8.5,9.5,Organic Vegetables 190 MT,40
Agro Based Industry,Kareshabari Organic Farming Pvt. Ltd.,Kathmandu,7.1,8,Organic Vegetables 180 MT,37
Agro Based Industry,Suncity Organic Agriculture Farmingindustries Pvt. Ltd.,Kathmandu,8.7,10,Organic Vegetables 200 MT,47
Agro Based Industry,Hunan China Grean House Pvt. Ltd.,Lalitpur,25,30,Vegetable Farming 188 MT,29
Agro Based Industry,Bhalo Organic Farm Pvt. Ltd.,Kathmandu,19,20,Organic Vegetable 220 MT,35
Agro Based Industry,Sunshine Grean Vegetables Farming Pvt. Ltd.,Kathmandu,28.5,30,Organic Vegetable 250 MT,40
Agro Based Industry,Joint Venture Organic Farming Pvt. Ltd.,Kathmandu,13.5,15,Organic Vegetables 300 MT,44
Agro Based Industry,Mahabhara Agriculture Development Pvt. Ltd., Jhapa,9,10,Organic Vegetables 50 MT ,34
Agro Based Industry,Holywood Organic Farm Pvt.Ltd.,Kathmandu,14,15,Organic Vegatables 200 MT.,36
Agro Based Industry,Sujun Organic Farm Pvt. Ltd.,Kathmandu,33.5,35,Organic Vegatables 300 MT.,40
Agro Based Industry,Philips Organic Farm Pvt.Ltd.,Kathmandu,8.9,10,Organic Vegetables 210 MT,44
Agro Based Industry,Gukadng Organic Pvt. Ltd.,Lalitpur,13.6,15,Organic Vegetable 250 MT,40
