Name Of District,No Of Industry,Total Capital,Fixed Capital,Working Capital,Employment
Achham,4,1071.57,1050.17,21.4,257
Arghakhachi,2,58.08,48.58,9.5,163
Baglung,4,1572.78,1553.48,19.3,204
Baitadi,5,87,76.3,10.7,416
Bajhang,4,783.3,758.8,24.5,285
Banke,59,7157.74,5780.5,1377.24,5550
Bara,192,29396.96,19417.38,9979.58,21225
Bardiya,13,485.07,427.53,57.54,474
Bhaktapur,134,6290.67,4894.32,1396.35,13173
Bhojpur,4,1147.23,131.73,1015.5,222
Chitwan,144,13460.43,10048.24,3412.19,9565
Dadeldhura,2,101.19,94.72,6.47,58
Dailekh,3,946.75,929.25,17.5,99
Dang,23,5598.44,5138.79,459.65,3185
Darchula,4,1121.54,1082.27,39.27,284
Dhading,41,17865.24,16824.67,1040.57,2895
Dhankuta,16,2180.45,1855.62,324.83,2742
DhanUSha,27,3458.72,3018.37,440.35,2636
Dolkha,19,51445.4,51069.82,375.58,5524
Dolpa,1,4.72,3.91,0.81,21
Doti,6,13400,13280.7,119.3,220
Gorkha,17,3383.77,3286.36,97.41,1106
Gulmi,5,1820.77,1747.37,73.4,109
Humla,5,46,38.7,7.3,105
Ilam,34,10722.94,9446.73,1276.21,5797
Jajarkot,1,50,46,4,55
Jhapa,81,5686.13,4814.58,871.55,13670
Kailali,28,2836.68,1606.08,1230.6,2779
Kalikot,2,3800,3600,200,230
Kanchanpur,22,1457.77,1158.99,298.78,2963
Kapilbastu,24,4653.22,3775.15,878.07,3002
Kaski,238,34562.57,31488.24,3074.33,12938
Kathmandu,2466,98221,68030,30191,199486
Kavre,118,5753.08,4556.73,1196.35,10002
Khotang,3,988.5,962.25,26.25,100
Lalitpur,496,24195.87,16963.9,7231.97,32124
Lamjung,21,28456.82,27619.34,837.48,1447
Mahottari,4,996.6,842.77,153.83,767
MaKWanpur,87,12090.41,9169.84,2920.57,8487
Morang,202,15577.26,10867.53,4709.73,17199
Mugu,2,50.97,45.11,5.86,68
MUStang,4,1901.85,1865.89,35.96,267
Myagdi,7,15864.6,15599.3,265.3,297
Nawalparasi,83,17331.56,14339.93,2991.63,8412
Nuwakot,28,10232.64,9916.13,316.51,1441
Okhaldhunda,1,1214,1200,14,50
Palpa,5,1262.21,1108.28,153.93,506
Panchathar,9,5957.14,5850.69,106.45,2743
Parbat,2,120,116.31,3.69,231
Parsa,132,11202.03,6767.31,4434.72,12730
Ramechhap,4,1453.31,1161.6,291.71,294
Rasuwa,13,27754.91,26425.41,1329.5,2015
Rautahat,6,192.23,146.4,45.83,294
Rolpa,3,1022.79,971.86,50.93,4066
RUKum,2,400,355,45,216
Rupandehi,157,17861.29,13260.54,4600.75,15844
Salyan,1,6200,6000,200,273
Sankhuwasabha,8,3858.18,3744.99,113.19,1266
Saptari,11,674.13,554.38,119.75,1079
Sarlahi,15,3330.77,2823.32,507.45,2433
Sindhuli,2,203.84,194.85,8.99,195
Sindhupalchowk,32,37730.36,36608.41,1121.95,3087
Siraha,9,3202.39,2711.92,490.47,1293
SolUKhumbu,29,10789.76,10525.63,264.13,1904
Sunsari,110,9645.38,7268.67,2376.71,12431
Surkhet,8,2195.46,1904,291.46,787
Syangja,3,30.91,34.63,-3.72,459
Tanahu,11,591,469.01,121.99,783
Taplejung,7,6281.43,6211.44,69.99,326
Tehrathum,4,1741.7,1723.85,17.85,160
Udaypur,5,5853.71,5296.6,557.11,764
