District,No. Of Industry,Total Project Cost,Total Fixed Cost,Foreign Investment,Employment
Dhankuta,1,46.62,37.62,0,120
Ilam,5,309,256.44,267.76,433
Jhapa,15,1051.14,677.4,288.35,3334
Morang,29,3783.23,2907.81,2016.17,5138
Okhaldhunda,1,250,245,19,122
Sankhuwasabha,1,500,488,500,250
Saptari,3,430,394.5,299.4,190
Siraha,5,3464.02,3058.89,2113.2,928
Solukhumbu,11,3289.17,3145.09,1008.13,339
Sunsari,23,2366.67,1732.17,1294.75,3199
Taplejung,2,12.1,10.14,11.9,44
Bara,48,7790.55,6077.35,2275.68,4671
Bhaktapur,55,4702.86,3834.88,3179.08,4779
Chitwan,57,4801.55,3951.05,1385.33,8497
Dhading,12,2504.89,2432.2,2265,881
Dhanusha,3,291.04,249.71,165.52,292
Dolkha,5,5800.2,5281.03,1505.73,325
Kathmandu,1499,76798.04,62456.94,35516.21,81122
Kavre,55,2128.49,1795.68,1447.8,4719
Lalitpur,342,14805.64,9146.99,11525.64,17838
Makwanpur,55,7790.88,6037.07,2893.74,4828
Nuwakot,11,2350.58,2213.35,233.7,1009
Out Of Valley,1,24.34,21.22,24.34,70
Parsa,44,3492.91,2456.5,2147.35,5738
Ramechhap,1,291.34,237.89,262.21,200
Rasuwa,6,4622.4,4472.28,3236.43,205
Rautahat,2,569.18,515.78,54.06,639
Sindhuli,1,9,7.7,9,105
Sindhupalchowk,11,7092.73,6818.59,1351.08,3016
Terai Region,1,60,55,16,97
Arghakhachi,2,1342.09,199.27,449.6,331
Baglung,1,500,250,500,290
Gorkha,4,704.09,648.32,75.23,758
Kalikot,1,0,1800,1520,125
Kapilbastu,9,421.71,206.42,307.81,300
Kaski,157,18781.51,17708.88,5144.37,6543
Lamjung,6,2319.93,2267.25,519.35,565
Manang,2,915,898,203,289
Manang,Tanah,1,75,69.75,47.01,635
Mustang,3,464.24,451.01,3.57,131
Myagdi,1,15,11.8,15,59
Nawalparasi,27,7835.34,6976.89,1334.11,3535
Palpa,3,339.5,190.78,314.4,261
Parbat,1,1100,1089,1.5,2614
Rupandehi,34,6251.29,5147.92,3221.29,3513
Tanahu,5,133.02,104.7,81.5,316
Undefined,2,225,134.06,27,124
Banke,20,2085.23,1880.34,408.36,1596
Bardiya,10,114.68,91.26,81.94,363
Dang,10,4784.9,4490.4,304.9,1298
Humla,6,51,43.2,29.24,117
Mugu,1,8.6,6,8.6,18
Rolpa,3,32.22,28.31,29,156
Surkhet,4,3617.36,2842.2,2207.17,366
Achham,4,571.18,550.68,418.18,411
Baitadi,5,97,86.8,82,415
Dadeldhura,1,18,15,4.5,28
Darchula,1,34,32,2.94,60
Doti,1,10,7.2,10,33
Kailali,5,961.24,900.01,221,1030
Kanchanpur,16,824.37,734.41,180.72,1603
Kavrepalanchock,1,30,28,20.4,40
Total,2652,216091.04,180904.09,95086.2,181051
